channel_label,channel_handle,video_id,video_title,published_at,view_count,like_count,comment_count,duration_sec,video_type
ISEGYE_IDOL,isegyeidol_ofcl,tQDkmeT4Pb4,매끈매끈하다 🫧🤍 #이세계아이돌 #ISEGYEIDOL #shorts,2025-12-15T09:01:05Z,330734,10693,144,18.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,hss_hPgGsYg,good goodbye 🥀🤍#이세계아이돌 #ISEGYEIDOL #shorts,2025-12-11T09:00:21Z,207810,11773,331,26.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,cmzytVXGSTU,"힙합보단🎧 사랑❤️‍🔥, 사랑보단 세돌💗 #이세계아이돌 #ISEGYEIDOL #shorts",2025-12-11T09:00:16Z,455122,13609,265,18.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,TgTW0gIra0M,성대모사에 진심인 편 😎  #이세계아이돌 #ISEGYEIDOL #shorts,2025-12-11T09:00:10Z,114040,6342,160,58.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,wRNDc0vGSAA,(SUB) 우리 중에 스파이가 숨어 있어..🔍🤨 - 이세계 마피아 (2) | ISEGYE IDOL Highlight,2025-12-11T09:00:02Z,27456,2866,151,801.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,qDa_15bDUZ0,드근드시 챌린지🥊💥 #이세계아이돌 #ISEGYEIDOL #shorts,2025-12-10T09:01:02Z,626006,15159,252,8.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,V5waQU14bD8,핏불테리어 챌린지 🐕 #이세계아이돌 #ISEGYEIDOL #shorts,2025-12-10T09:00:53Z,279520,10965,220,10.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,hNXYAPgeqZA,(SUB) 이세계아이돌 최고의 마피아는 누구!? 🕵️‍♂️ - 이세계 마피아 (1) | ISEGYE IDOL Highlight,2025-12-08T09:01:10Z,37433,3686,245,760.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,JDWEjxqWz1g,𝓢𝓾𝓰𝓪𝓻 𝓸𝓷 𝓶𝔂  💗 #이세계아이돌 #ISEGYEIDOL #shorts,2025-12-08T09:00:34Z,292773,11984,218,16.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,ETTGGiARLOk,좋아하는 음식 챌린지 🍽️ #이세계아이돌 #ISEGYEIDOL #shorts,2025-12-08T09:00:30Z,424282,10130,311,20.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,L1eOYLD-V6M,Nameless with #유스피어 #시안 🐈 #USPEER #SIAN #이세계아이돌 #ISEGYEIDOL #징버거 #JINGBURGER #Nameless,2025-12-07T09:00:35Z,288894,11393,324,18.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,rhyTqWneDWc,Nameless with #최예나 #YENA #예나 💫 #이세계아이돌 #ISEGYEIDOL #주르르 #JURURU #Nameless #Nameless_Challenge,2025-12-05T09:00:49Z,503168,16938,586,22.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,vFdPJwSx2ts,0% vs 50% vs 100% ? #이세계아이돌 #ISEGYEIDOL #Nameless #BeMyLight #Nameless_Challenge #shorts,2025-12-02T09:01:32Z,263121,10802,235,31.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,nHzDhNMvl1c,내 코어가 과열된 탓일까?ㅜ.ㅜ #이세계아이돌 #ISEGYEIDOL #Nameless #Nameless_Challenge #BeMyLight #shorts,2025-12-02T09:01:24Z,129679,7595,156,16.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,_9RX9vH1hI8,Nameless 의상 설명 👗 #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-12-02T09:00:54Z,152771,6782,121,57.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,5_hVJvaTtUU,(SUB) Nameless 챌린지 알려드립니다 🎥💃🏼 (+ 발매 기념 QnA 🔎) | ISEGYE IDOL Highlight,2025-12-02T09:00:08Z,29148,3444,200,636.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,LyhtyAsFBWU,(SUB) 이세계아이돌(ISEGYE IDOL) Be My Light 응원법 만들기 🌿✨ (+ 앨범 언박싱📦) | ISEGYE IDOL Highlight,2025-11-27T09:00:39Z,25158,3263,210,624.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,JFMP0_jyEsI,Be My Light 최고의 가사 🥇 #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-27T09:00:34Z,73499,4514,88,60.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,8oypXzJDiqI,Be My Light 녹음실 비하인드 🎙️ #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-27T09:00:13Z,67940,4393,67,47.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,a9ulrWgcGmo,Be My Light 뮤비 베스트 파트 🎬 #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-27T09:00:01Z,77473,4475,73,59.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,bzV5Ly48rSE,마성의 여자 징버거 🐶 #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-26T09:00:54Z,277485,9585,137,50.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,Ct9xE9-M9Ug,릴파를 고발합니다 🚨 #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-26T09:00:29Z,214806,7483,101,43.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,Du-w4j5cieE,아이네 키의 진실 ⁉️ #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-26T09:00:18Z,385425,10938,189,42.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,brfh-gmUOZo,(SUB) 이세계아이돌(ISEGYE IDOL) 랜덤 플레이 댄스 🔥 | ISEGYE IDOL Highlight,2025-11-23T09:00:26Z,80215,6167,448,443.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,dlMr9u9eEQQ,(SUB) 이세계아이돌(ISEGYE IDOL) 내부고발 합니다 ⚠️ | ISEGYE IDOL Highlight,2025-11-21T09:01:06Z,139159,8033,523,865.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,y1SbbIgiNbk,지구방위대 이세계아이돌 자기소개! 🪐🌏 #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-19T11:01:56Z,182300,8270,164,40.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,Xi8zolmuGKI,(SUB) 이세계아이돌(ISEGYE IDOL) Be My Light 컴백 비하인드🎬  | ISEGYE IDOL Highlight,2025-11-19T11:01:10Z,42531,5136,287,605.0,LONG
ISEGYE_IDOL,isegyeidol_ofcl,avLNRd5vzR0,Be My Light 뮤직비디오 같이 보기 👀 #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-19T11:00:08Z,92709,5518,91,52.0,SHORT
ISEGYE_IDOL,isegyeidol_ofcl,UlAr3VLUCy4,앨범 발매 소감 💿🥰 #이세계아이돌 #ISEGYEIDOL #BML #BeMyLight #Nameless #shorts,2025-11-19T09:00:51Z,80803,6775,185,59.0,SHORT
