동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,최상위 댓글,@Bcoz314,파쿠리를 벗어나려 애쓰지만 근본부터가티는 남아잇어 아니라고 입꾹닫 우기는 이파리 페미해명은 못한다고요,2,2024-11-28T03:21:40Z,0,UgyEAI-6ex3ndcBjxY54AaABAg,Av1zma6uJco,UC4P1n1YTDXIkWsBBqDDcvIQ,2024-11-28T03:21:40Z,,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,최상위 댓글,@노미현-l6y,저딴보면 뭐 나옴?ㅋㅋㅋ,2,2024-12-06T13:29:49Z,1,UgxxmZIrlAXAGqX5QEZ4AaABAg,Av1zma6uJco,UC8LmjxkuuqnnOz-h0AnzA5w,2024-12-06T13:29:49Z,,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@중2병-t9r,도파민ㅋㅋ,5,2024-12-06T13:56:34Z,0,UgxxmZIrlAXAGqX5QEZ4AaABAg.ABhmIcX2tQGABhpMaeQYmR,Av1zma6uJco,UCM9nFUMP-2XZcffEjoq2l7A,2024-12-06T13:56:34Z,UgxxmZIrlAXAGqX5QEZ4AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,최상위 댓글,@ppwoqoqoqqo,그래서 얘내가 철구보다 돈 잘범?,1,2024-11-27T21:53:37Z,2,UgwCATNHT7qkO_uvTt14AaABAg,Av1zma6uJco,UChzOsckhmQLjiT3h5fYMtVg,2024-11-27T21:53:37Z,,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@slow__cow3047,아이덜 컨셉 방송인임 그냥 만든지 생각보다 몇년 안됐는데 이정도 실적이면 나쁘지는않지,1,2024-11-27T23:22:17Z,0,UgwCATNHT7qkO_uvTt14AaABAg.ABMVncB2U5kABMex4mbkSe,Av1zma6uJco,UCWohrNkYg2G_fQuGpzUNrSg,2024-11-27T23:22:17Z,UgwCATNHT7qkO_uvTt14AaABAg,부정
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@막한다_막한다,@slow__cow3047 뭐 아이돌이 맞긴 함,1,2024-11-28T06:12:59Z,0,UgwCATNHT7qkO_uvTt14AaABAg.ABMVncB2U5kABNOxCgXwuF,Av1zma6uJco,UCjqy1SrBvz9rXsteMFUE2_g,2024-11-28T06:12:59Z,UgwCATNHT7qkO_uvTt14AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,최상위 댓글,@빈빈-m2h,욕하는사람들 다 나이많아보인다..,2,2024-11-28T13:52:22Z,2,Ugw_JAdPTCp00dwKgmF4AaABAg,Av1zma6uJco,UC-S1cEcK6XYW5WV5LELNoUg,2024-11-28T13:52:22Z,,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@darkpinkgall9719,찐따잼민이인거 자랑하노 ㅋㅋㅋㅋ,1,2024-11-28T23:53:42Z,0,Ugw_JAdPTCp00dwKgmF4AaABAg.ABODWnWK5WZABPIL807eqr,Av1zma6uJco,UCmXDXIvvO0-A453nJXRfT3g,2024-11-28T23:53:42Z,Ugw_JAdPTCp00dwKgmF4AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,대댓글,@아즈사는어렸을때부터,@darkpinkgall9719 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 속이~~~~~~뻥!!!!!!!!,1,2024-11-29T03:06:04Z,0,Ugw_JAdPTCp00dwKgmF4AaABAg.ABODWnWK5WZABPdM35k0zV,Av1zma6uJco,UC_Wl4ag6Rme3kyMNioVjgvw,2024-11-29T03:06:04Z,Ugw_JAdPTCp00dwKgmF4AaABAg,중립
버추얼 아이돌 인기가 이정도? '이세계 아이돌' 역대 펀딩 88억 돌파/ KNN,KNN NEWS,최상위 댓글,@seisomatsuri,왁천지,1,2024-11-27T18:34:29Z,0,UgwExtIiX8Gs6JtH3Bd4AaABAg,Av1zma6uJco,UCfSiwDiHz3-hCiLfpzOTI_Q,2024-11-27T18:34:29Z,,중립
