동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@jho5493,"입덕 두달 넘었는데... 못 본 영상들... 까마득합니다.
근데 최근에 아시아투어 콘서트 영상들까지 줄줄이 올라오는 중 ㅋㅋㅋㅋㅋㅋ",2,2025-08-24T02:47:52Z,0,Ugx7AWD-pH0oc0Yy93J4AaABAg.A8tNRIDlHOcAMBgJC8SBuW,OT6uElfCI7o,UCjfy-28481ZqOyDfgMg76iQ,2025-08-24T02:47:52Z,Ugx7AWD-pH0oc0Yy93J4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@쟤보단낫지의쟤,일단 밥친구부터 시작해보세요 밥먹을 시간도 없어짐,1063,2024-09-27T11:48:46Z,9,UgxY3GHmrblLz6QKuWd4AaABAg,OT6uElfCI7o,UCdpUP76f2tofoLNcH4gsXnw,2024-09-27T11:48:46Z,,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@깜냥-u8r,맞아요ㅎㅎㅎ 밥먹으면서 보다가 어느새 수저를 놓고 방송을 보고 있는 나..방금 그러고 왔습니다😂😂😂,24,2024-09-27T14:48:36Z,0,UgxY3GHmrblLz6QKuWd4AaABAg.A8tM5IUjaEJA8tffPc3be8,OT6uElfCI7o,UCoEvDtK0WzFJbTTLqy7hmpg,2024-09-27T14:48:36Z,UgxY3GHmrblLz6QKuWd4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@Odor7,잘시간도 순삭당했습니다..,16,2024-09-27T15:23:06Z,0,UgxY3GHmrblLz6QKuWd4AaABAg.A8tM5IUjaEJA8tjc4wN7Ad,OT6uElfCI7o,UC-wD_3bqj5U18tyBUG5b_aA,2024-09-27T15:23:06Z,UgxY3GHmrblLz6QKuWd4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@roundlee,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맞네 이거네,8,2024-09-27T16:47:54Z,0,UgxY3GHmrblLz6QKuWd4AaABAg.A8tM5IUjaEJA8ttK9bjMZz,OT6uElfCI7o,UCgt9w1PYa_O5QXpZgk5_gLw,2024-09-27T16:47:54Z,UgxY3GHmrblLz6QKuWd4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@뮴뮴-j6k,ㅋㅋㅋ 밥친구하다가 밥값 내어주게 된다는 외계인들..,11,2024-09-27T18:16:18Z,0,UgxY3GHmrblLz6QKuWd4AaABAg.A8tM5IUjaEJA8u2RfzhdIE,OT6uElfCI7o,UC4F7piPxVoXoihlB_v9rV4w,2024-09-27T18:16:18Z,UgxY3GHmrblLz6QKuWd4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@baby5taku,밥먹을시간도 밥값도..... 😂,8,2024-09-27T18:26:09Z,0,UgxY3GHmrblLz6QKuWd4AaABAg.A8tM5IUjaEJA8u3Zjl_a98,OT6uElfCI7o,UCo45G9I7RwbaGBNn0b58ruQ,2024-09-27T18:26:09Z,UgxY3GHmrblLz6QKuWd4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@행-l3x,나는 이제 플레이브 안 좋아하는 법 모릅니다,1309,2024-09-27T11:50:06Z,3,UgwBOVUZQzvbgwqE3d54AaABAg,OT6uElfCI7o,UCiiFil9cTqXdOuOFms9Me2g,2024-09-27T11:50:06Z,,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@zxcvbnm615,"저도 모릅니다
플레이브: 플리는 바부야!",6,2024-09-27T21:21:44Z,0,UgwBOVUZQzvbgwqE3d54AaABAg.A8tMF336BhXA8uNejpvNbU,OT6uElfCI7o,UCEqyawKSo9WGBigUTM1FNbg,2024-09-27T21:21:44Z,UgwBOVUZQzvbgwqE3d54AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@준우-o6x,네다씹 에휴 ㅉㅉ,0,2024-09-28T00:14:06Z,0,UgwBOVUZQzvbgwqE3d54AaABAg.A8tMF336BhXA8ugOCXyJyk,OT6uElfCI7o,UCm-IxkznCuEHlkLqh3ThePg,2024-09-28T00:14:06Z,UgwBOVUZQzvbgwqE3d54AaABAg,중립
