동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@amyuksami,"""왁굳형은 위대하고 전지전능하며 이세돌은 그의 사도이다.""",0,2023-10-13T14:40:26Z,0,UgzuBZm2b2gkH1lRDMp4AaABAg,S1bcy4h1mS8,UCK9m2eYBHmxEvazZCwxJxQg,2023-10-13T14:40:26Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@포켓몬애호가-d2g,우리 왁굳형이 없어지면....이세돌 어케되는거냐.....,0,2023-10-02T07:16:03Z,0,Ugy8LlPEOhg-FZZRyYN4AaABAg,S1bcy4h1mS8,UCnV48krzRFpXhL7edNx8lsQ,2023-10-02T07:16:03Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@일해-f7y,꺄아ㅏㅏㅏㅏㅏ,0,2023-09-29T13:58:18Z,0,UgynRgvXE8_fkpjfpnR4AaABAg,S1bcy4h1mS8,UC6mytd-CaZdUK2gNBKflvQw,2023-09-29T13:58:18Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@추억123,컴퓨터좀 좋은거 쓰지.... 버벅대는거 보소,1,2023-09-29T05:59:46Z,0,UgzhH_uSriyJBDzJln54AaABAg,S1bcy4h1mS8,UCL8ldK_s9Fx7nmiwJ40Vu3g,2023-09-29T05:59:46Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@yungyum.o9o,왁굳형...사랑해...고마워...,2,2024-01-12T17:07:59Z,0,UgwjdUNBYxpqxiH9M2x4AaABAg,S1bcy4h1mS8,UCbNTiybSLa_mIcenguwhmbw,2024-01-12T17:07:59Z,,긍정
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@오렌지-h8l,역시 형이야!!!!,0,2023-09-30T13:42:34Z,0,UgwPGOEPkgzz_Rup-Id4AaABAg,S1bcy4h1mS8,UCRBA0Pvp2DABy62yDH9nyWQ,2023-09-30T13:42:34Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@뼈다귀제왕,킹 아,1,2024-07-20T00:31:41Z,0,Ugze1AOAi8MLW5WXE_54AaABAg,S1bcy4h1mS8,UC8QXNJ0GCllY7cuiTTFRUog,2024-07-20T00:31:41Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@yeonigi__,우리 아이돌 화이팅!💜💛🖤🩷💙💚,0,2023-09-28T19:24:03Z,0,Ugyn-zNdknbbW4PUBll4AaABAg,S1bcy4h1mS8,UC95TVCjWSVKdYaUYdq6ScAg,2023-09-28T19:24:03Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@삐뚤빼뚤-e6e,분명 내수였는데,0,2023-10-03T03:28:34Z,0,UgwvUYQOOQWKx-RJGo14AaABAg,S1bcy4h1mS8,UCLedJDpmAX8PWuAS0esStCg,2023-10-03T03:28:34Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@GreenRain58,킹아!,0,2023-09-29T13:36:20Z,0,UgwEgyUHMOYJOSK1pKl4AaABAg,S1bcy4h1mS8,UCTOj7OjbP9_JQZI63MdgbMg,2023-09-29T13:36:20Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@skdjwidk999,"와 요즘엔 저런게 나왔다고 대단하다 
처음봐서 너무 신기한걸 킹아",5,2023-10-24T02:49:45Z,2,UgyuHzW3w6YG9TM1GKx4AaABAg,S1bcy4h1mS8,UCkq5JnO2wezSfMUmRdIX_HA,2023-10-24T02:49:45Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@몸은몸,???,1,2023-11-14T02:13:42Z,0,UgyuHzW3w6YG9TM1GKx4AaABAg.9wEUvmJZZb09x4VV46noUK,S1bcy4h1mS8,UC9jcHmPuio67jkE3XdvzisA,2023-11-14T02:13:42Z,UgyuHzW3w6YG9TM1GKx4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@Sxxtbox1,들켜버린 나,1,2023-11-14T11:41:28Z,0,UgyuHzW3w6YG9TM1GKx4AaABAg.9wEUvmJZZb09x5WTZZeZky,S1bcy4h1mS8,UCowb0x5AJ9pQYveiiNEBH8Q,2023-11-14T11:41:28Z,UgyuHzW3w6YG9TM1GKx4AaABAg,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@canits,신기하다,0,2023-09-28T12:19:00Z,0,UgwHLnZvGcGqoc-AVMF4AaABAg,S1bcy4h1mS8,UCsoS3JumGY_sdX9qtxgA4vA,2023-09-28T12:19:00Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@Hemsterbaksarane,이세돌 사랑해!!!!!!!!!!!!,1,2023-10-02T08:08:34Z,0,UgxfaHiR43xTaT_jxkl4AaABAg,S1bcy4h1mS8,UCN-Td1lLYguDN6x4ZMcNcmQ,2023-10-02T08:08:34Z,,긍정
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@잔학양,어디까지 내다본거냐 우왁굳..,0,2023-10-01T02:39:02Z,0,Ugyxfc-fiHbQ5SoRtxh4AaABAg,S1bcy4h1mS8,UCiKJZlIy-2UsoxdqkHhebBA,2023-10-01T02:39:02Z,,중립
