동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@불멸의철갑궁,즐기는 놈들ㅇㅈㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-05-01T14:24:32Z,0,UgwyGP8hr8M21ZTuwkF4AaABAg,qOB5sIujPH8,UCc4bGAzoaGP3l-k1K0sD4hg,2025-05-01T14:24:32Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@덩치큰흑곰,버츄얼 아이돌이라니 갠취는 존중하지만 나 개인적으로는 아직도 충격이긴하네,1,2025-09-04T07:23:35Z,1,UgxHO3Kv1aP7iMwyAYR4AaABAg,qOB5sIujPH8,UCBLoWdWs0pToEI4wYXT6KZw,2025-09-04T07:23:35Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,대댓글,@Kitty_4fty,저두...,0,2025-11-20T12:56:10Z,0,UgxHO3Kv1aP7iMwyAYR4AaABAg.AMdVbIdKef4APkMschE76f,qOB5sIujPH8,UCMcO7gcT9_mvm1PH032kO9Q,2025-11-20T12:56:10Z,UgxHO3Kv1aP7iMwyAYR4AaABAg,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@놔플리-q2d,저걸 올린 플리분도 참...,0,2025-05-04T07:30:57Z,0,UgyPxnph7uSDnA-V4FB4AaABAg,qOB5sIujPH8,UCIfHP9IS_m8hjIW5UbHnSrg,2025-05-04T07:30:57Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@o0O0o0O0O0O.k,ㅆㅂ첫번째 아이언맨임?,0,2025-07-27T07:12:51Z,0,UgzexW281FTQ5-z7Mp94AaABAg,qOB5sIujPH8,UCFhoMNma2znXKRPrPLQeC9A,2025-07-27T07:12:51Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@white_night814,플레이브 그냥 두꺼비 집 내리면 펜타킬아님?,0,2025-05-06T14:29:02Z,0,UgwglEZFmS2d7TRu9vl4AaABAg,qOB5sIujPH8,UCb-KUdhU_Kkzk8XA5TOCe0Q,2025-05-06T14:29:02Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@user-et1xk1tb3u,하앀ㅋㅋㅋㅋㅋㅋㅋ개웃기네,0,2025-05-07T09:51:59Z,0,UgxKbfuhCaa8-OhH_o54AaABAg,qOB5sIujPH8,UCP_V4Ac5yFAs3GSKZaFi-OQ,2025-05-07T09:51:59Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@sophia-3ry,이야 2d가 하늘도 날아주고 좋겠다!,0,2025-05-23T13:34:25Z,0,Ugzw-amJYSsfJR32pNh4AaABAg,qOB5sIujPH8,UCBhYCMr-wKy_u-_zaE8cIJg,2025-05-23T13:34:25Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@김유찬-r6n,저거 댓글에 노무현 대통령 나옴 ㅋㅋㅋ,1,2025-05-05T07:23:24Z,0,UgwhXGDJcfgnLDBmiIJ4AaABAg,qOB5sIujPH8,UCOEExsIFfnUCESuJOdojLJg,2025-05-05T07:23:24Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@디오-d3z,플레이브 실제 얼굴....,0,2025-05-04T10:38:36Z,0,UgxWccjA3PS7f1Lcu4Z4AaABAg,qOB5sIujPH8,UCok7n6E_Af1dZk0R0LpA6EQ,2025-05-04T10:38:36Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@aaa.aa12.0,나유타 ㅋㅋㅋㅋ,0,2025-04-30T14:14:53Z,0,UgwoNHBx8eSg7B10FiF4AaABAg,qOB5sIujPH8,UCDs9e-OaRR2UI94mr_JznCg,2025-04-30T14:14:53Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@구름-v8c,무대위에 오토바이 끌고올수 있나여? ㅋㅋ,0,2025-05-04T08:56:01Z,0,UgxYmiM_mzCdihIM73B4AaABAg,qOB5sIujPH8,UCALe0q1DD81hYFHlnFHC38w,2025-05-04T08:56:01Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@jxehn_3,그래봤자 AI,0,2025-04-30T21:38:59Z,0,Ugx0JlmkRv6EQAqBxqx4AaABAg,qOB5sIujPH8,UCWzcsr1P3hcOUiyiOLFpTiQ,2025-04-30T21:38:59Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@jutop7515,ㅈㄴ허경영인줄,0,2025-05-24T19:19:09Z,0,UgwyErcmaLOnK-NP0u54AaABAg,qOB5sIujPH8,UCbvo9EKsbwSm3dU9R9AmTaw,2025-05-24T19:19:09Z,,중립
