,nouns
EYG4ROejmyI,"['로판', '사람', '각자', '이름', '노래', '검정', '머리', '기사단', '핑크', '머리', '최연', '마탑', '푸른', '계열', '검정', '머리', '북부', '대공', '머리', '황태자', '머리', '여주', '서브']"
EYG4ROejmyI,['노래']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['소년', '애니', '노래', '투니버스', '예전', '지금', '위상', '아마', '하나', '애니']"
EYG4ROejmyI,"['누가', '실력', '인기', '무조건', '증명', '기록', '누구', '너희', '너희', '진심', '사람']"
EYG4ROejmyI,
EYG4ROejmyI,"['순수', '음악', '노래']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['뭔가', '오아시스', '분위기', '느낌']"
EYG4ROejmyI,"['남자', '그룹']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['딸피', '아저씬데', '남자', '남성', '보이', '그룹', '캐릭터', '순정만화', '그림', '느낌', '화면', '지다', '머리색', '구분', '개성', '비쥬', '확연', '이구분', '몰입', '반면', '아저씨', '입덕', '어제', '출퇴근', '맥주']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['레이브']
EYG4ROejmyI,"['사이버', '가수', '아담', '입덕', '가수', '레이브', '취향', '대쪽']"
EYG4ROejmyI,
EYG4ROejmyI,['진짜']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['오늘', '윤석렬', '대통령']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['주르르', '커버', '여기']"
EYG4ROejmyI,"['밤비', '카와이']"
EYG4ROejmyI,['띵곡']
EYG4ROejmyI,"['뭔가', '아이돌', '밴드', '노래']"
EYG4ROejmyI,"['시장', '빠순이', '어디', '테스트', '연기', '얼굴', '독자', '이탈']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['노아', '을해', '대박', '누가', '노아', '다른사람', '알껬']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '기분', '여름', '자주']"
EYG4ROejmyI,['아빠']
EYG4ROejmyI,
EYG4ROejmyI,"['형님', '지리', '노래']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['사랑', '레이브', '레이브', '레이브', '펌펍', '볼륨']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['여기', '노래', '카메라', '앵글', '찰떡', '제일', '에드', '부분', '때문', '레이브', '노래', '노래', '개월', '반성']"
EYG4ROejmyI,
EYG4ROejmyI,"['우리', '엄마']"
EYG4ROejmyI,"['노래', '부분', '약간', '여성향', '남자']"
EYG4ROejmyI,
EYG4ROejmyI,"['처음', '심장', '우물쭈물', '순간', '느낌', '바보', '얘기', '사람', '하나', '사람', '하나', '보이지', '사랑', '안녕', '사랑', '사랑', '진심', '과연', '걱정', '잠깐', '잠깐', '간나', '생각', '결말', '신경', '순간', '느낌', '바보', '얘기', '사람', '하나', '사람', '하나', '보이지', '사랑', '안녕', '사람', '하나', '사람', '하나', '보이지', '사랑', '안녕', '안녕', '진심']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['휴식시간']
EYG4ROejmyI,"['처음', '심장', '우물쭈물', '순간', '느낌', '바보', '얘기', '사람', '하나', '사람', '하나', '보이지', '사랑', '안녕', '사랑', '사랑', '진심', '과연', '걱정', '잠깐', '잠깐', '간나', '생각', '결말', '신경', '순간', '느낌', '바보', '얘기', '사람', '하나', '사람', '하나', '보이지', '사랑', '안녕', '사람', '하나', '사람', '하나', '보이지', '사랑', '안녕', '안녕', '진심']"
EYG4ROejmyI,
EYG4ROejmyI,['레이브']
EYG4ROejmyI,['역시']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['레전드', '이제야', '개월']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
