,keywords
T_gJpnjJsnk,"['알고리즘', '처음', '너희', '낯설다', '사람', '버츄얼', '대해', '호감', '비호감', '인지', '지금', '너희', '없다', '플리', '무대', '대체', '너희', '어떻다', '마음', '자꾸', '생각', '어떻다', '버추', '도전', '결심', '대단하다', '신기하다', '너희', '하나', '무대', '간절하다', '같다', '음악', '본인', '유명하다', '다른', '부귀', '영화', '택할', '없다', '선택', '거란', '생각', '밤비', '무대', '자체', '좋아하다', '있다', '은호', '음악', '고맙다', '노아', '가창', '로서', '포기', '프로듀서', '택했던', '같다', '레이브', '통해', '홍대', '극장', '같다', '공연', '만날', '상상', '역시', '무대', '간절하다', '같다', '생각', '아마', '포기', '포기', '과정', '끝내', '포기', '없다', '너희', '마르', '가치', '덕분', '여기', '아니다', '낙심', '오히려', '단단하다', '고맙다', '가을', '너희', '고척', '스카이', '있다', '너희', '플리', '덕분', '너희', '지금', '노력', '길이', '너희', '있다', '너희', '그렇다', '모습', '오히려', '고맙다', '너희', '일상', '부단하다', '노력', '너희', '댓글', '없다', '자기만족', '너희', '행복', '간다', '영원하다', '행복하다', '레이브', '그동안', '노력', '만큼', '항상', '생각', '착하다', '마음', '행복하다', '평생', '응원']"
T_gJpnjJsnk,"['너희', '좋다', '아쉽다']"
T_gJpnjJsnk,"['역사', '시작']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['노래', '질리']"
T_gJpnjJsnk,
T_gJpnjJsnk,
T_gJpnjJsnk,"['입덕', '영상', '기적', '음중', '무대', '레전드']"
T_gJpnjJsnk,"['고척돔', '앙콘', '진짜', '서사']"
T_gJpnjJsnk,
T_gJpnjJsnk,
T_gJpnjJsnk,
T_gJpnjJsnk,"['이제야', '너희']"
T_gJpnjJsnk,"['노랗다', '머리', '목소리', '사람', '대한', '궁금증', '폭발', '시작', '기억']"
T_gJpnjJsnk,"['레이브', '고맙다', '미래엔', '플리', '있다', '어서']"
T_gJpnjJsnk,"['데뷔', '미련', '뚝뚝', '기억']"
T_gJpnjJsnk,"['음중', '노래', '자연스럽다', '세상', '있다', '년후', '사람', '덕이', '진짜', '음중', '영상', '이쁘다', '좋다']"
T_gJpnjJsnk,"['후보', '이름']"
T_gJpnjJsnk,"['다시', '미치다', '미치다', '명곡']"
T_gJpnjJsnk,"['진짜', '언제', '좋다']"
T_gJpnjJsnk,"['안녕', '플리', '너희', '잠깐', '그게', '바로', '레이브']"
T_gJpnjJsnk,"['다시', '생각', '생일', '가장', '선물', '너희']"
T_gJpnjJsnk,
T_gJpnjJsnk,
T_gJpnjJsnk,"['레이브', '성공', '요인', '처음', '눈물', '서사', '플리', '오열']"
T_gJpnjJsnk,['오늘']
T_gJpnjJsnk,"['이만', '서사', '없다']"
T_gJpnjJsnk,"['직캠', '지금', '업로드', '주시', '안되다', '진심', '때깔', '직캠']"
T_gJpnjJsnk,"['입덕', '이야기', '있다', '얼릉얼릉']"
T_gJpnjJsnk,"['어떻다', '데뷔', '사랑']"
T_gJpnjJsnk,"['세상', '관심', '진작', '억울하다', '억울하다']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['진짜', '가입', '기간', '일주일', '안되다', '버블', '자수', '짧다', '진짜', '많다']"
T_gJpnjJsnk,
T_gJpnjJsnk,"['그날', '케이팝', '새롭다', '시대', '린다']"
T_gJpnjJsnk,"['엔딩', '심장', '두근거리다', '쿵광', '쿵쾅']"
