,nouns
rDFUl2mHIW4,"['프리터', '댄스', '바짝', '긴장', '시청자', '이면', '개추']"
rDFUl2mHIW4,"['절대', '주지']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['이번', '상쾌', '여름', '컨셉']"
rDFUl2mHIW4,"['노래', '진짜']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['천만', '축하', '화이팅']"
rDFUl2mHIW4,['옛날']
rDFUl2mHIW4,"['천만', '축하']"
rDFUl2mHIW4,"['버라페', '시청']"
rDFUl2mHIW4,"['지금', '순간', '우리', '어려움', '불합리', '평가', '불구', '사랑', '절대', '포기', '이유', '우리', '시기', '지나', '다시', '추억', '준비', '때문', '생각', '이파리', '여러분', '그때', '모두']"
rDFUl2mHIW4,"['벌써', '시간']"
rDFUl2mHIW4,
rDFUl2mHIW4,"['맨체스터', '더비', '더욱', '맨시티', '이기', '맨유', '놀림', '맨유', '이기', '맨시티', '놀림']"
rDFUl2mHIW4,['어디']
rDFUl2mHIW4,"['사랑', '키딩']"
rDFUl2mHIW4,"['학교', '학교', '운동', '다시']"
rDFUl2mHIW4,"['키딩', '덕질', '한지', '증거', '사랑']"
rDFUl2mHIW4,"['다시', '여기', '사람', '개추']"
rDFUl2mHIW4,"['그땐', '신세계', '금보', '추억']"
rDFUl2mHIW4,"['미녕님', '키딩']"
rDFUl2mHIW4,"['대체', '누구']"
rDFUl2mHIW4,
rDFUl2mHIW4,['카메라']
rDFUl2mHIW4,['파이팅']
rDFUl2mHIW4,"['키딩', '주년', '정말', '축하']"
rDFUl2mHIW4,"['키딩', '주년']"
rDFUl2mHIW4,"['키딩', '주년', '축하']"
rDFUl2mHIW4,"['주년', '항상']"
rDFUl2mHIW4,"['키딩', '주년', '벌써', '전이']"
rDFUl2mHIW4,['주년']
rDFUl2mHIW4,['키딩']
rDFUl2mHIW4,"['벌써', '주년']"
rDFUl2mHIW4,"['오늘', '사랑']"
rDFUl2mHIW4,"['주년', '축하', '생일', '기억']"
rDFUl2mHIW4,['주년']
rDFUl2mHIW4,['주년']
rDFUl2mHIW4,"['주년', '축하', '축하']"
rDFUl2mHIW4,['주년']
