,keywords
qOB5sIujPH8,"['빡치다', '일이', '아니다', '빡치다', '의문', '선거', '대한', '거부', '있다', '무분별', '비난', '정당화', '없다', '뭔가', '착각', '기어', '표현', '그렇다']"
qOB5sIujPH8,"['버추', '기술', '정말', '다양하다', '기술', '분야', '집합', '방면', '적용', '부분', '있다', '있다', '단순하다', '버추', '아니다', '생각', '차원']"
qOB5sIujPH8,"['인기', '없다', '신경', '인기', '많다', '자기', '빡치다', '빡치다', '이유', '없다']"
qOB5sIujPH8,"['아니다', '귀엽다']"
qOB5sIujPH8,"['장난', '시비', '상대', '장난', '뻔하다', '존재', '만해', '잘못', '없다', '모래']"
qOB5sIujPH8,['꼼쭈리']
qOB5sIujPH8,"['아니다', '시전', '어그', '정병']"
qOB5sIujPH8,"['인스타', '진짜', '심각하다', '관련', '영상', '조롱', '댓글', '없다', '싫다', '안보', '굳이', '있다', '사람', '요즘', '심하다', '같다']"
qOB5sIujPH8,"['머리', '스타일', '비슷하다', '결과', '재밌다', '한잔']"
qOB5sIujPH8,"['붉다', '화면', '웃음']"
qOB5sIujPH8,"['인용', '중드짤', '진짜', '겻는뎈']"
qOB5sIujPH8,"['항상', '이렇다', '조롱', '거리', '영상', '속상하다', '진짜']"
qOB5sIujPH8,"['디도스', '레츠고']"
qOB5sIujPH8,"['진짜', '웃기']"
qOB5sIujPH8,"['고도', '발전', '스엠돌', '분할', '없다']"
qOB5sIujPH8,"['외모', '같다', '있다']"
qOB5sIujPH8,"['어쩐지', '노아', '공중부양', '보고', '같다', '저거였엌']"
qOB5sIujPH8,"['어떻다', '댓글', '노래', '좋다', '어서', '어서', '대형', '그룹', '끼리', '안타깝다']"
qOB5sIujPH8,['인정']
qOB5sIujPH8,"['제발', '팬덤', '끼리', '보기', '안좋다']"
qOB5sIujPH8,"['아니다', '장난', '같다']"
qOB5sIujPH8,"['플레이스테이션', '제발']"
qOB5sIujPH8,"['서로', '불쌍하다', '팬덤', '언제', '탈덕', '돈벌이', '있다']"
qOB5sIujPH8,"['갈드', '없다']"
qOB5sIujPH8,"['애기', '사쿠라', '프사', '플브', '거임', '지능', '안티', '결과']"
qOB5sIujPH8,"['팩트', '체크', '영상', '영상', '억울하다', '사람', '있다', '사람', '있다']"
qOB5sIujPH8,['인간']
qOB5sIujPH8,['더니']
qOB5sIujPH8,"['유타', '공중부양', '스엠', '입사']"
qOB5sIujPH8,"['웃기', '조마조마하다']"
qOB5sIujPH8,['최애']
qOB5sIujPH8,"['버튜버', '편하다', '실제', '달리', '사생활', '논란', '아니다']"
qOB5sIujPH8,"['잡곡', '밥퍼', '먹기', '어차피', '진짜', '사람', '좋아하다', '아니다', '가공', '캐릭터', '좋아하다', '거기', '때문', '공개', '타격', '없다', '같다', '처음', '실제', '보고', '좋아하다', '아니다', '덕질', '사람', '진짜', '덕질', '멘탈', '갑인', '사람', '없다']"
qOB5sIujPH8,"['아니다', '멀다', '버츄얼', '오겠닼']"
qOB5sIujPH8,"['유쾌하다', '같다', '오빠', '공중부양', '하제']"
qOB5sIujPH8,['초능력']
qOB5sIujPH8,
qOB5sIujPH8,"['야야', '언닌', '잡고', '오리', '우린']"
qOB5sIujPH8,"['인스타', '댓글', '같다']"
qOB5sIujPH8,['미쳣냐']
qOB5sIujPH8,['지라']
qOB5sIujPH8,"['스타일', '비슷하다', '끼리']"
qOB5sIujPH8,"['쩐다', '어떻다', '편집']"
qOB5sIujPH8,"['공중부양', '유타']"
qOB5sIujPH8,"['놀란', '표정', '웃기']"
qOB5sIujPH8,
qOB5sIujPH8,"['지능', '안티', '아니다']"
qOB5sIujPH8,"['아니다', '쥰내', '웃기', '갑자기', '하늘']"
qOB5sIujPH8,"['세라핌', '순간이동', '도하', '레이저']"
qOB5sIujPH8,['웃곀']
qOB5sIujPH8,['웃기']
qOB5sIujPH8,"['사람', '아니다', '던데']"
qOB5sIujPH8,"['오히려', '게시', '게시']"
qOB5sIujPH8,"['요즘', '저런', '특수', '능력']"
qOB5sIujPH8,"['버츄얼이더', '무한', '확장']"
qOB5sIujPH8,"['생각', '아니다', '이제', '무한', '확장']"
qOB5sIujPH8,"['아니다', '미치다']"
qOB5sIujPH8,"['팬덤', '귀엽다', '죽겠네']"
qOB5sIujPH8,"['예준', '생일']"
qOB5sIujPH8,['이자']
qOB5sIujPH8,"['웃기', '진짜']"
qOB5sIujPH8,['완전하다']
