title,company,location,scrape_date,scrape_time,title_raw,paren_raw,title_clean,seniority,work_mode,employment_type,role_group
Data Engineer,AMISEQ,,2025-07-16,18:33:16,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
AI Engineer II,Zeta,"Bengaluru, Karnataka, India",2025-07-16,19:18:49,AI Engineer II,,ai engineer ii,unknown,unknown,unknown,ml_ai
DevOps/SRE Engineer - Remote Work,BairesDev,"Mumbai, Maharashtra, India",2025-07-16,19:18:49,DevOps/SRE Engineer - Remote Work,,devops sre engineer remote work,unknown,remote,unknown,devops_sre
DevOps/SRE Engineer - Remote Work,BairesDev,"Vishakhapatnam, Andhra Pradesh, India",2025-07-16,19:18:49,DevOps/SRE Engineer - Remote Work,,devops sre engineer remote work,unknown,remote,unknown,devops_sre
Data Engineer,A.P. Moller - Maersk,"Bengaluru, Karnataka, India",2025-07-16,19:18:49,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineers,ShepHertz Technologies,"Mumbai, Maharashtra, India",2025-07-16,19:18:49,DevOps Engineers,,devops engineers,unknown,unknown,unknown,devops_sre
Senior DevOps Engineer,Ghostpunch Games,"KA, IN",2025-07-16,19:40:25,Senior DevOps Engineer,,senior devops engineer,senior,unknown,unknown,devops_sre
Senior Staff Cloud DevOps Engineer,Experian,"Hyderabad, Telangana, India",2025-07-16,19:40:25,Senior Staff Cloud DevOps Engineer,,senior staff cloud devops engineer,senior,unknown,unknown,devops_sre
DevOps Engineer,Bizbrolly,"UP, IN",2025-07-16,20:25:39,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
MERN Stack Developer and DevOps engineer,Panini8 Software,"Kolkata, West Bengal, India",2025-07-16,20:25:39,MERN Stack Developer and DevOps engineer,,mern stack developer and devops engineer,unknown,unknown,unknown,devops_sre
DevOps Engineer - Blockchain Ops,BitGo,"KA, IN",2025-07-16,21:22:09,DevOps Engineer - Blockchain Ops,,devops engineer blockchain ops,unknown,unknown,unknown,devops_sre
Devops Engineer III,Ericsson-Worldwide,"KA, IN",2025-07-16,21:22:09,Devops Engineer III,,devops engineer iii,unknown,unknown,unknown,devops_sre
Data Engineer,RevX,,2025-07-16,21:22:09,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Software DevOps Engineer,QualRec Solutions,,2025-07-16,21:22:09,Software DevOps Engineer,,software devops engineer,unknown,unknown,unknown,devops_sre
AI Engineer,Commerciax Infotech Pvt. Ltd.,"Ahmedabad, Gujarat, India",2025-07-16,21:22:09,AI Engineer,,ai engineer,unknown,unknown,unknown,ml_ai
DevOps Engineer - Remote Work,BairesDev,"Bangalore Urban, Karnataka, India",2025-07-16,21:42:33,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Aurangabad, Maharashtra, India",2025-07-16,21:42:33,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Bengaluru, Karnataka, India",2025-07-16,21:42:33,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Coimbatore, Tamil Nadu, India",2025-07-16,22:21:56,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Chennai, Tamil Nadu, India",2025-07-16,22:21:56,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Haora, West Bengal, India",2025-07-16,22:21:56,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Jabalpur, Madhya Pradesh, India",2025-07-16,22:21:56,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Indore, Madhya Pradesh, India",2025-07-16,22:21:56,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
Software Development Engineer II - Azure Data Engineering,Tesco Technology,"Bengaluru, Karnataka, India",2025-07-16,22:21:56,Software Development Engineer II - Azure Data Engineering,,software development engineer ii azure data engineering,unknown,unknown,unknown,data_engineering
DevOps Engineer - Remote Work,BairesDev,"Surat, Gujarat, India",2025-07-16,22:21:56,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Jaipur, Rajasthan, India",2025-07-16,22:21:56,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
AI Engineer Software Intern (Codeforces 2000+ only),zapRF,"Pune, Maharashtra, India",2025-07-16,22:21:56,AI Engineer Software Intern (Codeforces 2000+ only),Codeforces 2000+ only,ai engineer software intern,intern,unknown,unknown,ml_ai
DevOps Engineer - Remote Work,BairesDev,"Patna, Bihar, India",2025-07-16,22:21:56,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
SDE - 1 - DevOps,FanCode,"Mumbai, Maharashtra, India",2025-07-16,22:47:30,SDE - 1 - DevOps,,sde 1 devops,unknown,unknown,unknown,devops_sre
Data Engineer,NP Group,,2025-07-16,22:47:30,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer - Remote Work,BairesDev,,2025-07-16,22:47:30,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer - Remote Work,BairesDev,"Vishakhapatnam, Andhra Pradesh, India",2025-07-16,22:47:30,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
DevOps Engineer,Q-Free,"Hyderabad, Telangana, India",2025-07-16,22:47:30,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Azure Data Engineer- India,Largeton Group,,2025-07-16,22:47:30,Azure Data Engineer- India,,azure data engineer india,unknown,unknown,unknown,data_engineering
DevOps Engineer - Remote Work,BairesDev,"Mumbai, Maharashtra, India",2025-07-16,22:47:30,DevOps Engineer - Remote Work,,devops engineer remote work,unknown,remote,unknown,devops_sre
Senior Data Engineer,"InvestCloud, Inc.","Karnataka, India",2025-07-16,23:21:59,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Data Engineer,Gartner,"Gurgaon, Haryana, India",2025-07-16,23:42:36,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Palantir Data Engineer,Enexus Global Inc.,"Hyderabad, Telangana, India",2025-07-16,23:42:36,Palantir Data Engineer,,palantir data engineer,unknown,unknown,unknown,data_engineering
IN-Senior Associate_Devops _Oracle_Advisory_Bangalore,PwC India,"Bengaluru, Karnataka, India",2025-07-16,23:42:36,IN-Senior Associate_Devops _Oracle_Advisory_Bangalore,,in senior associate devops oracle advisory bangalore,senior,unknown,unknown,devops_sre
SDE -III - Data Engineer,Avis Budget Group,"Bengaluru, Karnataka, India",2025-07-16,23:42:36,SDE -III - Data Engineer,,sde iii data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer,Accenture,"KA, IN",2025-07-17,01:55:22,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
DevOps Engineer,Accenture,"KA, IN",2025-07-17,01:55:22,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Data Engineer - ETL,Reyna Solutions,"Bengaluru, Karnataka, India",2025-07-17,01:55:22,Data Engineer - ETL,,data engineer etl,unknown,unknown,unknown,data_engineering
Generative AI Specialist,Flentas,"Pune, Maharashtra, India",2025-07-17,01:55:22,Generative AI Specialist,,generative ai specialist,unknown,unknown,unknown,ml_ai
Senior DevOps Engineer,Konovo,"KA, IN",2025-07-17,03:37:16,Senior DevOps Engineer,,senior devops engineer,senior,unknown,unknown,devops_sre
Founding Devops Engineer,Logz AI,"Bengaluru, Karnataka, India",2025-07-17,03:37:16,Founding Devops Engineer,,founding devops engineer,unknown,unknown,unknown,devops_sre
Data Engineer,NYX,"Bengaluru, Karnataka, India",2025-07-17,03:37:16,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
"Data Engineer (SQL, Talend ETL, GCP & Azure)",Mars Data Insights,,2025-07-17,03:37:16,"Data Engineer (SQL, Talend ETL, GCP & Azure)","SQL, Talend ETL, GCP & Azure",data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer,People Prime Worldwide,"Mumbai, Maharashtra, India",2025-07-17,04:39:03,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
DevOps Engineer,People Prime Worldwide,"Hyderabad, Telangana, India",2025-07-17,04:39:03,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Data Engineer(Strong Python & Pyspark Coding),ideaHelix,"Hyderabad, Telangana, India",2025-07-17,04:39:03,Data Engineer(Strong Python & Pyspark Coding),Strong Python & Pyspark Coding,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer (Database Specialist),Aadhcode,,2025-07-17,04:39:03,Data Engineer (Database Specialist),Database Specialist,data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer,Kotak Mahindra Bank,"Bengaluru, Karnataka, India",2025-07-17,05:26:28,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
SRE DevOps Engineer,MyRemoteTeam Inc,"Bengaluru, Karnataka, India",2025-07-17,05:26:28,SRE DevOps Engineer,,sre devops engineer,unknown,unknown,unknown,devops_sre
Agentic AI developer (3 - 9 years),AIMLEAP,,2025-07-17,05:26:28,Agentic AI developer (3 - 9 years),3 - 9 years,agentic ai developer,unknown,unknown,unknown,ml_ai
DevOps Engineer,Soffit Infrastructure Services (P) Ltd.,"KL, IN",2025-07-17,05:49:52,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
DevOps Engineer (Lead),Infogain,"KA, IN",2025-07-17,05:49:52,DevOps Engineer (Lead),Lead,devops engineer,senior,unknown,unknown,devops_sre
Data Engineer,Growel Softech Pvt Ltd,"Trivandrum, Kerala, India",2025-07-17,05:49:52,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,Dexian India,"Pune, Maharashtra, India",2025-07-17,05:49:52,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer,People Prime Worldwide,"Chennai, Tamil Nadu, India",2025-07-17,05:49:52,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Senior Data Engineer,Infoblox,"Bengaluru, Karnataka, India",2025-07-17,05:49:52,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Senior Devops Engineer,Aptita,"Hyderabad, Telangana, India",2025-07-17,05:49:52,Senior Devops Engineer,,senior devops engineer,senior,unknown,unknown,devops_sre
Data Engineer,Concentrix,"Bengaluru, Karnataka, India",2025-07-17,07:43:52,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,"Sunrise Systems, Inc.",,2025-07-17,07:43:52,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Senior Machine Learning Engineer,Evolent,"Pune, Maharashtra, India",2025-07-17,07:43:52,Senior Machine Learning Engineer,,senior machine learning engineer,senior,unknown,unknown,ml_ai
Applied Machine Learning Engineer,Thinkproject,"Pune, Maharashtra, India",2025-07-17,07:43:52,Applied Machine Learning Engineer,,applied machine learning engineer,unknown,unknown,unknown,ml_ai
AWS Cloud DevOps Engineer,Customer Capital,"Delhi, India",2025-07-17,07:43:52,AWS Cloud DevOps Engineer,,aws cloud devops engineer,unknown,unknown,unknown,devops_sre
GCP Data Engineer,Dataquad Inc.,"Hyderabad, Telangana, India",2025-07-17,07:43:52,GCP Data Engineer,,gcp data engineer,unknown,unknown,unknown,data_engineering
Senior AI Engineer,91HR,"Goa, India",2025-07-17,07:43:52,Senior AI Engineer,,senior ai engineer,senior,unknown,unknown,ml_ai
Senior Machine Learning Engineer,Mindtickle,"Bangalore Urban, Karnataka, India",2025-07-17,07:43:52,Senior Machine Learning Engineer,,senior machine learning engineer,senior,unknown,unknown,ml_ai
Senior Data Engineer,Lexmark,,2025-07-17,07:43:52,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
DevOps Engineer,Jivi AI,"Gurugram, Haryana, India",2025-07-17,08:31:06,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
AWS Data Engineer,DataE2E Technologies,"Maharashtra, India",2025-07-17,08:31:06,AWS Data Engineer,,aws data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer,Unity Infotech,"Kochi, Kerala, India",2025-07-17,08:31:06,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Azure Data Engineer,Bridgenext,"Pune, Maharashtra, India",2025-07-17,08:31:06,Azure Data Engineer,,azure data engineer,unknown,unknown,unknown,data_engineering
"Data Engineer (Level 4), AOP",myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2025-07-17,08:31:06,"Data Engineer (Level 4), AOP",Level 4,data engineer aop,unknown,unknown,unknown,data_engineering
DevOps Engineer (Cloud & Automation),Kian Technologies,"Remote, IN",2025-07-17,09:26:59,DevOps Engineer (Cloud & Automation),Cloud & Automation,devops engineer,unknown,unknown,unknown,devops_sre
Engineer - SC Devops,LSEG (London Stock Exchange Group),"KA, IN",2025-07-17,09:26:59,Engineer - SC Devops,,engineer sc devops,unknown,unknown,unknown,devops_sre
DevOps Engineer - SR1,Nexifyr,"DL, IN",2025-07-17,09:26:59,DevOps Engineer - SR1,,devops engineer sr1,unknown,unknown,unknown,devops_sre
DevOps Engineer - SR1,Nexifyr,"TS, IN",2025-07-17,09:26:59,DevOps Engineer - SR1,,devops engineer sr1,unknown,unknown,unknown,devops_sre
DevOps Engineer - SR1,Nexifyr,"MH, IN",2025-07-17,09:26:59,DevOps Engineer - SR1,,devops engineer sr1,unknown,unknown,unknown,devops_sre
DevOps Engineer - SR1,Nexifyr,"KA, IN",2025-07-17,09:26:59,DevOps Engineer - SR1,,devops engineer sr1,unknown,unknown,unknown,devops_sre
DevOps Engineer - SR1,Nexifyr,"MH, IN",2025-07-17,09:26:59,DevOps Engineer - SR1,,devops engineer sr1,unknown,unknown,unknown,devops_sre
DevOps Engineer - SR1,Nexifyr,"HR, IN",2025-07-17,09:26:59,DevOps Engineer - SR1,,devops engineer sr1,unknown,unknown,unknown,devops_sre
DevOps Engineer - SR1,Nexifyr,"TN, IN",2025-07-17,09:26:59,DevOps Engineer - SR1,,devops engineer sr1,unknown,unknown,unknown,devops_sre
"Software Engineer, Data Engineer II",DoorDash,"Pune, Maharashtra, India",2025-07-17,09:26:59,"Software Engineer, Data Engineer II",,software engineer data engineer ii,unknown,unknown,unknown,data_engineering
Data Scientist,HCLTech,"Bengaluru, Karnataka, India",2025-07-17,09:26:59,Data Scientist,,data scientist,unknown,unknown,unknown,data_science
DevOps Engineer,"Tyfone, Inc.",,2025-07-17,09:26:59,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Software Engineer III - Data Engineer,JPMorganChase,"Bengaluru, Karnataka, India",2025-07-17,09:26:59,Software Engineer III - Data Engineer,,software engineer iii data engineer,unknown,unknown,unknown,data_engineering
Devops Engineer,Expertrons Delhi,"Bengaluru, Karnataka, India",2025-07-17,09:26:59,Devops Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Senior Data Engineer,Anko GCC,"Bengaluru, Karnataka, India",2025-07-17,09:26:59,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Senior Devops Engineer,NICE Actimize,"MH, IN",2025-07-17,09:48:23,Senior Devops Engineer,,senior devops engineer,senior,unknown,unknown,devops_sre
Devops Engineer,NatWest Group,"KA, IN",2025-07-17,09:48:23,Devops Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Devops Engineer - N,IAssess Consultants LLP,"Bengaluru, Karnataka, India",2025-07-17,09:48:23,Devops Engineer - N,,devops engineer n,unknown,unknown,unknown,devops_sre
AI Developer,We Guide,"KL, IN",2025-07-17,10:26:11,AI Developer,,ai developer,unknown,unknown,unknown,ml_ai
Data Engineer,BayOne Solutions,"Gurugram, Haryana, India",2025-07-17,10:26:11,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Senior Data Engineer,Experian,"Hyderabad, Telangana, India",2025-07-17,10:26:11,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Azure DevOps,Virtusa,"Andhra Pradesh, India",2025-07-17,10:26:11,Azure DevOps,,azure devops,unknown,unknown,unknown,devops_sre
Cloud DevOps Engineer,LZYCRAZY PVT. LTD,"UP, IN",2025-07-17,10:49:48,Cloud DevOps Engineer,,cloud devops engineer,unknown,unknown,unknown,devops_sre
DevOps Engineer,HID,"Chennai, Tamil Nadu, India",2025-07-17,10:49:48,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Senior Associate- Data Engineer,Capital One,"Bengaluru, Karnataka, India",2025-07-17,10:49:48,Senior Associate- Data Engineer,,senior associate data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer,Uplers,"Guwahati, Assam, India",2025-07-17,10:49:48,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
Senior Data Engineer,Uplers,,2025-07-17,10:49:48,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer,Uplers,"Madurai, Tamil Nadu, India",2025-07-17,10:49:48,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer,Uplers,"Ghaziabad, Uttar Pradesh, India",2025-07-17,10:49:48,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
DEVOPS ENGINEER,Zensar Technologies,IN,2025-07-17,11:20:06,DEVOPS ENGINEER,,devops engineer,unknown,unknown,unknown,devops_sre
AI Infrastructure Engineer (DevOps/MLOps),Qcentro,"KL, IN",2025-07-17,11:20:06,AI Infrastructure Engineer (DevOps/MLOps),DevOps/MLOps,ai infrastructure engineer,unknown,unknown,unknown,other
AI Engineer,Ericsson,"Bengaluru, Karnataka, India",2025-07-17,11:20:06,AI Engineer,,ai engineer,unknown,unknown,unknown,ml_ai
Data Engineer,"NTT DATA, Inc.","Chennai, Tamil Nadu, India",2025-07-17,11:20:06,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Specialist - DevOps Full Stack Developer,Infineon Technologies,"Ahmedabad, Gujarat, India",2025-07-17,11:20:06,Specialist - DevOps Full Stack Developer,,specialist devops full stack developer,unknown,unknown,unknown,devops_sre
QA Engineer (Data Engineering & Warehouse Testing),RiDiK (a Subsidiary of CLPS. Nasdaq: CLPS),"Bengaluru, Karnataka, India",2025-07-17,11:20:06,QA Engineer (Data Engineering & Warehouse Testing),Data Engineering & Warehouse Testing,qa engineer,unknown,unknown,unknown,other
Senior Data Engineer,Guidehouse,"Trivandrum, Kerala, India",2025-07-17,11:20:06,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Cloud Data Engineer,Uplers,"Jamshedpur, Jharkhand, India",2025-07-17,11:20:06,Cloud Data Engineer,,cloud data engineer,unknown,unknown,unknown,data_engineering
Cloud Data Engineer,Uplers,"Guwahati, Assam, India",2025-07-17,11:20:06,Cloud Data Engineer,,cloud data engineer,unknown,unknown,unknown,data_engineering
Cloud Data Engineer,Uplers,"Agra, Uttar Pradesh, India",2025-07-17,11:20:06,Cloud Data Engineer,,cloud data engineer,unknown,unknown,unknown,data_engineering
Cloud Data Engineer,Uplers,"Aurangabad, Maharashtra, India",2025-07-17,11:20:06,Cloud Data Engineer,,cloud data engineer,unknown,unknown,unknown,data_engineering
Cloud Data Engineer,Uplers,"Thane, Maharashtra, India",2025-07-17,11:20:06,Cloud Data Engineer,,cloud data engineer,unknown,unknown,unknown,data_engineering
Senior Data Engineer,Uplers,"Jamshedpur, Jharkhand, India",2025-07-17,11:20:06,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Senior Data Engineer,Uplers,"Ghaziabad, Uttar Pradesh, India",2025-07-17,11:20:06,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer,Uplers,"Vijayawada, Andhra Pradesh, India",2025-07-17,11:20:06,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer,Uplers,"Visakhapatnam, Andhra Pradesh, India",2025-07-17,11:20:06,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer,Uplers,"Noida, Uttar Pradesh, India",2025-07-17,11:20:06,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer,Uplers,"Noida, Uttar Pradesh, India",2025-07-17,11:20:06,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
Senior Data Engineer,Uplers,"Vellore, Tamil Nadu, India",2025-07-17,11:20:06,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Data Engineer,Aryaka,"Bengaluru, Karnataka, India",2025-07-17,11:42:20,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,Virtusa,"Chennai, Tamil Nadu, India",2025-07-17,11:42:20,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
"Software Development Engineer, Alexa AI Developer Tech",Amazon,"Pune, Maharashtra, India",2025-07-17,11:42:20,"Software Development Engineer, Alexa AI Developer Tech",,software development engineer alexa ai developer tech,unknown,unknown,unknown,ml_ai
DevOps Engineer,BatchData,,2025-07-17,11:42:20,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
AI Engineer,HUB,"Gurugram, Haryana, India",2025-07-17,11:42:20,AI Engineer,,ai engineer,unknown,unknown,unknown,ml_ai
Data Engineer,Amazon Web Services (AWS),"Bengaluru, Karnataka, India",2025-07-17,11:42:20,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,Uplers,,2025-07-17,11:42:20,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Senior Data Engineer,S&P Global,"Gurugram, Haryana, India",2025-07-17,11:42:20,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Senior Data Engineer,Uplers,"Cuttack, Odisha, India",2025-07-17,11:42:20,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Lead Data Engineer,Uplers,,2025-07-17,11:42:20,Lead Data Engineer,,lead data engineer,senior,unknown,unknown,data_engineering
Senior Data Engineer,Uplers,"Patna, Bihar, India",2025-07-17,11:42:20,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Senior Data Engineer,Uplers,,2025-07-17,11:42:20,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Data Engineer I,Honeywell,"Bengaluru, Karnataka, India",2025-07-17,12:47:55,Data Engineer I,,data engineer i,unknown,unknown,unknown,data_engineering
AI Engineer - L1,Wipro,"Chennai, Tamil Nadu, India",2025-07-17,12:47:55,AI Engineer - L1,,ai engineer l1,unknown,unknown,unknown,ml_ai
"Data Engineer, MIDAS Digital Intelligence",Amazon Music,"Chennai, Tamil Nadu, India",2025-07-17,12:47:55,"Data Engineer, MIDAS Digital Intelligence",,data engineer midas digital intelligence,unknown,unknown,unknown,data_engineering
Data Engineer,BMC Software,"Pune, Maharashtra, India",2025-07-17,12:47:55,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer,Nashik Breweries and Distilleries,"MH, IN",2025-07-17,13:38:18,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Data Engineer,Ericsson,,2025-07-17,13:38:18,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer-Data Warehouse,IBM,"Bengaluru, Karnataka, India",2025-07-17,13:38:18,Data Engineer-Data Warehouse,,data engineer data warehouse,unknown,unknown,unknown,data_engineering
Data Scientist,Auroedge Private Limited,,2025-07-17,13:38:18,Data Scientist,,data scientist,unknown,unknown,unknown,data_science
Software Technologist - Cloud Engineer,Philips,"Bengaluru, Karnataka, India",2025-07-17,13:38:18,Software Technologist - Cloud Engineer,,software technologist cloud engineer,unknown,unknown,unknown,cloud
Lead Data Engineer [T500-19254],Delta Air Lines,"Bengaluru, Karnataka, India",2025-07-17,13:38:18,Lead Data Engineer [T500-19254],T500-19254,lead data engineer,senior,unknown,unknown,data_engineering
Sr. Devops SRE (Contract),VARITE INC,"Bengaluru, Karnataka, India",2025-07-17,13:38:18,Sr. Devops SRE (Contract),Contract,sr devops sre,senior,unknown,contract,devops_sre
Kore.AI Developer,Cloud Base Solutions LLC,"Noida, Uttar Pradesh, India",2025-07-17,13:38:18,Kore.AI Developer,,kore ai developer,unknown,unknown,unknown,ml_ai
Senior Azure Infra DevOps Engineer,ContractPodAi,"Pune, Maharashtra, India",2025-07-17,13:38:18,Senior Azure Infra DevOps Engineer,,senior azure infra devops engineer,senior,unknown,unknown,devops_sre
AI Engineer - Python Developer,JS Techalliance Consulting Pvt Ltd,"MP, IN",2025-07-17,14:21:21,AI Engineer - Python Developer,,ai engineer python developer,unknown,unknown,unknown,ml_ai
Senior MLOps & AI Developer,Giesecke+Devrient,"HR, IN",2025-07-17,14:21:21,Senior MLOps & AI Developer,,senior mlops ai developer,senior,unknown,unknown,ml_ai
DevOps/Cloud Engineer (Experienced),REIZEND PRIVATE LIMITED,"KL, IN",2025-07-17,14:21:21,DevOps/Cloud Engineer (Experienced),Experienced,devops cloud engineer,unknown,unknown,unknown,devops_sre
Data Engineer,Citi,"Pune, Maharashtra, India",2025-07-17,14:21:21,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
DevOps Engineer,LTIMindtree,"Pune, Maharashtra, India",2025-07-17,14:21:21,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
"Data Engineer, Data Engineering",Cardinal Health,"Bengaluru East, Karnataka, India",2025-07-17,14:21:21,"Data Engineer, Data Engineering",,data engineer data engineering,unknown,unknown,unknown,data_engineering
DATA ENGINEER-ADVANCED ANALYTICS,IBM,"Bengaluru, Karnataka, India",2025-07-17,14:21:21,DATA ENGINEER-ADVANCED ANALYTICS,,data engineer advanced analytics,unknown,unknown,unknown,data_engineering
Azure Data Engineer/Developer,Oracle,"Bengaluru, Karnataka, India",2025-07-17,14:21:21,Azure Data Engineer/Developer,,azure data engineer developer,unknown,unknown,unknown,data_engineering
Senior Data Engineer,Cozzera,"Delhi, India",2025-07-17,14:21:21,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
Senior Machine Learning Engineer,HARMAN India,"Bengaluru, Karnataka, India",2025-07-17,14:21:21,Senior Machine Learning Engineer,,senior machine learning engineer,senior,unknown,unknown,ml_ai
DevOps Engineer,Norstella,"Remote, IN",2025-07-17,14:47:47,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Senior Cloud Engineer,5dataInc,"TS, IN",2025-07-17,14:47:47,Senior Cloud Engineer,,senior cloud engineer,senior,unknown,unknown,cloud
Data Engineer,IntraEdge,,2025-07-17,14:47:47,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer,Cognisol,,2025-07-17,14:47:47,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer - C11 - Chennai,Citi,"Chennai, Tamil Nadu, India",2025-07-17,14:47:47,Data Engineer - C11 - Chennai,,data engineer c11 chennai,unknown,unknown,unknown,data_engineering
Data Engineer,ConnectIQ,"Bengaluru, Karnataka, India",2025-07-17,14:47:47,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer-Apache Airflow,IBM,"Mumbai, Maharashtra, India",2025-07-17,14:47:47,Data Engineer-Apache Airflow,,data engineer apache airflow,unknown,unknown,unknown,data_engineering
